Dates,Tickers,Tenor,Data
20230119,EUSA15 BGN Curncy,15Y,2.622
20230119,EUSA1D BGN Curncy,1D,NaN
20230119,EUSA1F BGN Curncy,18M,3.22
20230119,EUSA2 BGN Curncy,2Y,3.133
20230119,EUSA20 BGN Curncy,20Y,2.4575
20230119,EUSA25 BGN Curncy,25Y,2.285
20230119,EUSA3 BGN Curncy,3Y,2.931
20230119,EUSA30 BGN Curncy,30Y,2.113
20230119,EUSA35 BGN Curncy,35Y,1.984
20230119,EUSA4 BGN Curncy,4Y,2.7995
20230119,EUSA40 BGN Curncy,40Y,1.869
20230119,EUSA45 BGN Curncy,45Y,1.767
20230119,EUSA5 BGN Curncy,5Y,2.728
20230119,EUSA50 BGN Curncy,50Y,1.675
20230119,EUSA6 BGN Curncy,6Y,2.676
20230119,EUSA7 BGN Curncy,7Y,2.656
20230119,EUSA8 BGN Curncy,8Y,2.6432
20230119,EUSA9 BGN Curncy,9Y,2.6339
20230120,EUR006M Index,6M,2.895
20230120,EUSA1 BGN Curncy,1Y,3.2754
20230120,EUSA10 BGN Curncy,10Y,2.742
20230120,EUSA11 BGN Curncy,11Y,2.747
20230120,EUSA12 BGN Curncy,12Y,2.748
20230120,EUSA15 BGN Curncy,15Y,2.721
20230120,EUSA1D BGN Curncy,1D,NaN
20230120,EUSA1F BGN Curncy,18M,3.271
20230120,EUSA2 BGN Curncy,2Y,3.1892
20230120,EUSA20 BGN Curncy,20Y,2.559
20230120,EUSA25 BGN Curncy,25Y,2.376
20230120,EUSA3 BGN Curncy,3Y,2.992
20230120,EUSA30 BGN Curncy,30Y,2.219
20230120,EUSA35 BGN Curncy,35Y,2.089
20230120,EUSA4 BGN Curncy,4Y,2.8775
20230120,EUSA40 BGN Curncy,40Y,1.973
20230120,EUSA45 BGN Curncy,45Y,1.8735
20230120,EUSA5 BGN Curncy,5Y,2.8113
20230120,EUSA50 BGN Curncy,50Y,1.784
20230120,EUSA6 BGN Curncy,6Y,2.769
20230120,EUSA7 BGN Curncy,7Y,2.7443
20230120,EUSA8 BGN Curncy,8Y,2.7343
20230120,EUSA9 BGN Curncy,9Y,2.735
20230123,EUR006M Index,6M,2.917
20230123,EUSA1 BGN Curncy,1Y,3.3098
20230123,EUSA10 BGN Curncy,10Y,2.7925
20230123,EUSA11 BGN Curncy,11Y,2.801
20230123,EUSA12 BGN Curncy,12Y,2.8047
20230123,EUSA15 BGN Curncy,15Y,2.7808
20230123,EUSA1D BGN Curncy,1D,NaN
20230123,EUSA1F BGN Curncy,18M,3.314
20230123,EUSA2 BGN Curncy,2Y,3.235
20230123,EUSA20 BGN Curncy,20Y,2.6318
20230123,EUSA25 BGN Curncy,25Y,2.436
20230123,EUSA3 BGN Curncy,3Y,3.0477
20230123,EUSA30 BGN Curncy,30Y,2.278
20230123,EUSA35 BGN Curncy,35Y,2.1465
20230123,EUSA4 BGN Curncy,4Y,2.9262
20230123,EUSA40 BGN Curncy,40Y,2.04
20230123,EUSA45 BGN Curncy,45Y,1.925
20230123,EUSA5 BGN Curncy,5Y,2.857
20230123,EUSA50 BGN Curncy,50Y,1.832
20230123,EUSA6 BGN Curncy,6Y,2.8194
20230123,EUSA7 BGN Curncy,7Y,2.7923
20230123,EUSA8 BGN Curncy,8Y,2.7853
20230123,EUSA9 BGN Curncy,9Y,2.7892
20230124,EUR006M Index,6M,2.922
20230124,EUSA1 BGN Curncy,1Y,3.2933
20230124,EUSA10 BGN Curncy,10Y,2.768
20230124,EUSA11 BGN Curncy,11Y,2.7726
20230124,EUSA12 BGN Curncy,12Y,2.773
20230124,EUSA15 BGN Curncy,15Y,2.746
20230124,EUSA1D BGN Curncy,1D,NaN
20230124,EUSA1F BGN Curncy,18M,3.293
20230124,EUSA2 BGN Curncy,2Y,3.214
20230124,EUSA20 BGN Curncy,20Y,2.5932
20230124,EUSA25 BGN Curncy,25Y,2.397
20230124,EUSA3 BGN Curncy,3Y,3.0245
20230124,EUSA30 BGN Curncy,30Y,2.237
20230124,EUSA35 BGN Curncy,35Y,2.0995
20230124,EUSA4 BGN Curncy,4Y,2.907
20230124,EUSA40 BGN Curncy,40Y,1.9853
20230124,EUSA45 BGN Curncy,45Y,1.885
20230124,EUSA5 BGN Curncy,5Y,2.84
20230124,EUSA50 BGN Curncy,50Y,1.7959
20230124,EUSA6 BGN Curncy,6Y,2.7959
20230124,EUSA7 BGN Curncy,7Y,2.772
20230124,EUSA8 BGN Curncy,8Y,2.7622
20230124,EUSA9 BGN Curncy,9Y,2.7592
20230125,EUR006M Index,6M,2.928
20230125,EUSA1 BGN Curncy,1Y,3.2859
20230125,EUSA10 BGN Curncy,10Y,2.7692
20230125,EUSA11 BGN Curncy,11Y,2.7682
20230125,EUSA12 BGN Curncy,12Y,2.7688
20230125,EUSA15 BGN Curncy,15Y,2.7498
20230125,EUSA1D BGN Curncy,1D,NaN
20230125,EUSA1F BGN Curncy,18M,3.2727
20230125,EUSA2 BGN Curncy,2Y,3.191
20230125,EUSA20 BGN Curncy,20Y,2.601
20230125,EUSA25 BGN Curncy,25Y,2.423
20230125,EUSA3 BGN Curncy,3Y,3.002
20230125,EUSA30 BGN Curncy,30Y,2.267
20230125,EUSA35 BGN Curncy,35Y,2.12
20230125,EUSA4 BGN Curncy,4Y,2.8912
20230125,EUSA40 BGN Curncy,40Y,2.0043
20230125,EUSA45 BGN Curncy,45Y,1.915
20230125,EUSA5 BGN Curncy,5Y,2.828
20230125,EUSA50 BGN Curncy,50Y,1.8135
20230125,EUSA6 BGN Curncy,6Y,2.7832
20230125,EUSA7 BGN Curncy,7Y,2.7673
20230125,EUSA8 BGN Curncy,8Y,2.7608
20230125,EUSA9 BGN Curncy,9Y,2.7628
20230126,EUR006M Index,6M,2.922
20230126,EUSA1 BGN Curncy,1Y,3.2887
20230126,EUSA10 BGN Curncy,10Y,2.8045
20230126,EUSA11 BGN Curncy,11Y,2.809
20230126,EUSA12 BGN Curncy,12Y,2.813
20230126,EUSA15 BGN Curncy,15Y,2.792
20230126,EUSA1D BGN Curncy,1D,NaN
20230126,EUSA1F BGN Curncy,18M,3.282
20230126,EUSA2 BGN Curncy,2Y,3.2135
20230126,EUSA20 BGN Curncy,20Y,2.623
20230126,EUSA25 BGN Curncy,25Y,2.458
20230126,EUSA3 BGN Curncy,3Y,3.045
20230126,EUSA30 BGN Curncy,30Y,2.302
20230126,EUSA35 BGN Curncy,35Y,2.169
20230126,EUSA4 BGN Curncy,4Y,2.9272
20230126,EUSA40 BGN Curncy,40Y,2.0308
20230126,EUSA45 BGN Curncy,45Y,1.9595
20230126,EUSA5 BGN Curncy,5Y,2.8655
20230126,EUSA50 BGN Curncy,50Y,1.8585
20230126,EUSA6 BGN Curncy,6Y,2.826
20230126,EUSA7 BGN Curncy,7Y,2.801
20230126,EUSA8 BGN Curncy,8Y,2.7955
20230126,EUSA9 BGN Curncy,9Y,2.797
20230127,EUR006M Index,6M,2.942
20230127,EUSA1 BGN Curncy,1Y,3.3095
20230127,EUSA10 BGN Curncy,10Y,2.8335
20230127,EUSA11 BGN Curncy,11Y,2.841
20230127,EUSA12 BGN Curncy,12Y,2.845
20230127,EUSA15 BGN Curncy,15Y,2.823
20230127,EUSA1D BGN Curncy,1D,NaN
20230127,EUSA1F BGN Curncy,18M,3.2947
20230127,EUSA2 BGN Curncy,2Y,3.2378
20230127,EUSA20 BGN Curncy,20Y,2.6677
20230127,EUSA25 BGN Curncy,25Y,2.481
20230127,EUSA3 BGN Curncy,3Y,3.068
20230127,EUSA30 BGN Curncy,30Y,2.324
20230127,EUSA35 BGN Curncy,35Y,2.1903
20230127,EUSA4 BGN Curncy,4Y,2.9542
20230127,EUSA40 BGN Curncy,40Y,2.069
20230127,EUSA45 BGN Curncy,45Y,1.963
20230127,EUSA5 BGN Curncy,5Y,2.8907
20230127,EUSA50 BGN Curncy,50Y,1.8718
20230127,EUSA6 BGN Curncy,6Y,2.8517
