Dates,Tickers,Tenor,Data
20250502,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.018715
20250403,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0209705
20250303,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0223385
20250404,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.020322
20250304,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.02196
20250305,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0226275
20250505,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0187394
20250306,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0225985
20250506,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0186375
20250407,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.020194
20250307,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022466
20250507,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0185985
20250408,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0202985
20250508,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.01861
20250409,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0196355
20250509,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.018692
20250410,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.020121
20250310,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022356
20250411,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0198575
20250311,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022236
20250312,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022416
20250512,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0192086
20250313,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022188
20250513,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.019169
20250414,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.019901
20250314,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.02214
20250514,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0191685
20250415,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.01983
20250515,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.018954
20250416,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.01959
20250516,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.018886
20250417,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.019016
20250317,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022075
20250418,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0190611
20250318,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0220401
20250319,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022029
20250519,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0188426
20250320,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0218797
20250520,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0188156
20250421,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.01908
20250321,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.02186
20250521,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0188425
20250422,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.01891
20250522,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0186653
20250423,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0191185
20250523,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0183
20250424,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0187825
20250224,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022488
20250324,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.021739
20250425,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0187725
20250225,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022404
20250325,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.021668
20250226,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022448
20250326,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0215705
20250526,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0184595
20250227,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022211
20250327,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0213675
20250527,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.018416
20250428,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.018764
20250228,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.022128
20250328,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.02111
20250528,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.01846
20250429,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0187311
20250529,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.0183426
20250430,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.018597
20250530,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.018377
20250331,IR.EUR-ESTR-ON.SWAP-6M.MID,6M,0.02103
20250401,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02415
20250501,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02167
20250402,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.0242
20250602,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02161
20250502,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02156
20250403,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250303,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02658
20250404,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02416
20250304,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02663
20250305,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02664
20250505,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02168
20250306,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02664
20250506,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02167
20250407,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02415
20250307,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02666
20250507,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02167
20250408,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02414
20250508,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02169
20250409,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02415
20250509,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02171
